

loss: 300.794, mean of ED: 2.088

[280/10000] -  loss: 1315.681, mean of ED: 1.814
loss: 300.403, mean of ED: 2.087

[281/10000] -  loss: 1313.554, mean of ED: 1.812
loss: 300.010, mean of ED: 2.085

[282/10000] -  loss: 1311.427, mean of ED: 1.811
loss: 299.616, mean of ED: 2.084

[283/10000] -  loss: 1309.301, mean of ED: 1.809
loss: 299.220, mean of ED: 2.082

[284/10000] -  loss: 1307.175, mean of ED: 1.808
loss: 298.822, mean of ED: 2.081

[285/10000] -  loss: 1305.051, mean of ED: 1.806
loss: 298.424, mean of ED: 2.080

[286/10000] -  loss: 1302.926, mean of ED: 1.805
loss: 298.023, mean of ED: 2.078

[287/10000] -  loss: 1300.802, mean of ED: 1.803
loss: 297.622, mean of ED: 2.077

[288/10000] -  loss: 1298.678, mean of ED: 1.802
loss: 297.219, mean of ED: 2.075

[289/10000] -  loss: 1296.556, mean of ED: 1.800
loss: 296.815, mean of ED: 2.074

